	Region1_2010_FOOD3	Region1_2010_FOOD5	Region1_2014_FOOD2	Region1_2012_FOOD6	Region2_2016_FOOD13	Region6_2013_FOOD1	Region2_2006_FOOD12	Region1_2016_FOOD9	Region1_2016_FOOD10	Region1_2017_FOOD7	Region5_2016_FOOD15	Region3_2017_HUMAN26	Country_HUMAN49	Country_HUMAN34	Country_HUMAN44	Region3_2017_HUMAN19	Country_HUMAN48	Country_HUMAN50	Country_HUMAN39	Region4_2016_FOOD16	Region4_2017_FOOD17	Region3_2017_HUMAN18	Region3_2017_HUMAN20	Region3_2017_HUMAN22	Region3_2017_HUMAN23	Country_HUMAN28	Country_HUMAN33	Country_HUMAN35	Country_HUMAN36	Country_HUMAN37	Country_HUMAN40	SE_2018_FOOD41	Country_HUMAN47	Region3_2017_HUMAN21	Region3_2018_FOOD42	Region3_2018_FOOD43	Region3_2017_HUMAN24	Country_HUMAN38	Region3_2017_HUMAN25	Country_HUMAN27	Country_HUMAN32	Country_HUMAN31	Country_HUMAN29	Region1_2017_FOOD8	Country_HUMAN45	Country_HUMAN30	Country_HUMAN46	Region7_2014_FOOD11	Region2_2017_FOOD14
Region1_2010_FOOD3	0	0	3	5	6	8.99	9.99	8.99	13	14	9.99	22.99	22.99	22.99	22.99	24	22.99	24	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	14	21.99	22.99	24	24	22.99	25	24	26	25	25	25	26	25	26	29	32.99	30	18
Region1_2010_FOOD5	0	0	4	6	6.99	9.99	9.99	9.99	14	15	10.99	24	24	24	24	25	24	25	22.99	24	24	24	24	24	24	24	24	24	24	24	14	22.99	24	25	25	24	26	22.99	27	26	26	26	27	26	27	30	34	31	18.99
Region1_2014_FOOD2	3	4	0	4	5	7.99	8.99	4	7.99	15	8.99	22.99	22.99	22.99	24	25	22.99	25	24	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	13	21.99	22.99	24	24	22.99	25	22.99	26	24	25	25	26	26	26	29	32.99	30	18
Region1_2012_FOOD6	5	6	4	0	6.99	9.99	10.99	9.99	14	16	10.99	25	25	25	26	27	25	27	26	25	25	25	25	25	25	25	25	25	25	25	13	24	25	26	26	25	27	25	28	26	27	27	28	28	28	31	35	31.99	19.99
Region2_2016_FOOD13	6	6.99	5	6.99	0	8.99	9.99	10.99	14	16	9.99	24	24	24	25	25	24	26	25	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	22.99	13	21.99	22.99	24	24	22.99	24	24	26	25	25	25	26	26	25	29	31	31	18.99
Region6_2013_FOOD1	8.99	9.99	7.99	9.99	8.99	0	10.99	14	18	15	8.99	22.99	22.99	22.99	24	24	22.99	24	24	21.99	21.99	21.99	21.99	21.99	21.99	21.99	21.99	21.99	21.99	21.99	13	20.99	21.99	22.99	22.99	21.99	24	21.99	25	24	24	24	25	25	25	28	31.99	30	18
Region2_2006_FOOD12	9.99	9.99	8.99	10.99	9.99	10.99	0	15	18.99	17	12	27	27	27	28	28	27	29	28	26	26	26	26	26	26	26	26	26	26	26	13	25	26	27	27	26	28	25	29	28	28	28	29	29	28	31.99	36	31	19.99
Region1_2016_FOOD9	8.99	9.99	4	9.99	10.99	14	15	0	3	20.99	15	30	30	30	31	31	30	31.99	31	29	29	29	29	29	29	29	29	29	29	29	18.99	28	29	30	30	29	31	29	31.99	31	31	31	31.99	31.99	31	35	37	36	24
Region1_2016_FOOD10	13	14	7.99	14	14	18	18.99	3	0	25	18.99	34	34	34	35	35	34	36	35	32.99	32.99	32.99	32.99	32.99	32.99	32.99	32.99	32.99	32.99	32.99	21.99	31.99	32.99	31.99	34	32.99	32.99	32.99	35	35	35	35	36	36	36	39	40	36	27
Region1_2017_FOOD7	14	15	15	16	16	15	17	20.99	25	0	6	22.99	22.99	21.99	24	24	22.99	24	22.99	24	24	21.99	21.99	22.99	21.99	24	24	24	24	24	13	22.99	24	22.99	25	24	26	22.99	26	25	26	26	26	26	26	30	34	32.99	21.99
Region5_2016_FOOD15	9.99	10.99	8.99	10.99	9.99	8.99	12	15	18.99	6	0	19.99	19.99	19.99	20.99	21.99	19.99	21.99	20.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	8.99	18.99	19.99	20.99	20.99	19.99	21.99	19.99	22.99	19.99	21.99	21.99	22.99	22.99	22.99	26	31	27	16
Region3_2017_HUMAN26	22.99	24	22.99	25	24	22.99	27	30	34	22.99	19.99	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	2	2	2	3	3	4	3	5	4	4	4	7.99	12	42	31
Country_HUMAN49	22.99	24	22.99	25	24	22.99	27	30	34	22.99	19.99	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	2	2	2	3	3	4	3	5	4	4	4	7.99	12	42	31
Country_HUMAN34	22.99	24	22.99	25	24	22.99	27	30	34	21.99	19.99	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	2	2	2	3	3	4	3	5	4	4	4	7.99	12	42	31
Country_HUMAN44	22.99	24	24	26	25	24	28	31	35	24	20.99	0	0	0	0	1	0	1	1	2	2	0	0	0	0	2	2	2	2	2	1	2	2	2	3	3	3	4	3	5	4	6	4	5	5	8.99	13	43	31.99
Region3_2017_HUMAN19	24	25	25	27	25	24	28	31	35	24	21.99	1	1	1	1	0	0	1	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	4	4	4	4	4	6	4	5	5	8.99	13	43	31.99
Country_HUMAN48	22.99	24	22.99	25	24	22.99	27	30	34	22.99	19.99	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	2	2	2	3	3	4	3	5	4	4	4	7.99	12	41	30
Country_HUMAN50	24	25	25	27	26	24	29	31.99	36	24	21.99	1	1	1	1	1	0	0	2	3	3	1	1	1	1	3	3	3	3	3	2	3	3	3	4	4	4	5	4	6	5	6.99	5	5	6	9.99	14	43	31.99
Country_HUMAN39	22.99	22.99	24	26	25	24	28	31	35	22.99	20.99	1	1	1	1	2	1	2	0	2	2	1	1	1	1	2	2	2	2	2	0	2	2	2	3	3	3	3	4	5	4	6	5	5	5	8.99	13	42	31
Region4_2016_FOOD16	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Region4_2017_FOOD17	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	2	6.99	9.99	41	30
Region3_2017_HUMAN18	22.99	24	22.99	25	22.99	21.99	26	29	32.99	21.99	19.99	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Region3_2017_HUMAN20	22.99	24	22.99	25	22.99	21.99	26	29	32.99	21.99	19.99	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	2	2	4	3	3	3	6.99	10.99	41	30
Region3_2017_HUMAN22	22.99	24	22.99	25	22.99	21.99	26	29	32.99	22.99	19.99	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Region3_2017_HUMAN23	22.99	24	22.99	25	22.99	21.99	26	29	32.99	21.99	19.99	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	2	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN28	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	1	3	2	3	3	6	10.99	41	29
Country_HUMAN33	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN35	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN36	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN37	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN40	14	14	13	13	13	13	13	18.99	21.99	13	8.99	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	3	2	4	3	1	3	6.99	9.99	21.99	15
SE_2018_FOOD41	21.99	22.99	21.99	24	21.99	20.99	25	28	31.99	22.99	18.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	2	1	2	2	3	3	5	10.99	39	28
Country_HUMAN47	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	2	6.99	9.99	41	30
Region3_2017_HUMAN21	24	25	24	26	24	22.99	27	30	31.99	22.99	20.99	1	1	1	2	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	2	2	2	3	4	3	3	5	4	3	4	7.99	8.99	42	31
Region3_2018_FOOD42	24	25	24	26	24	22.99	27	30	34	25	20.99	2	2	2	3	3	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	3	3	4	2	2	3	2	4	4	6.99	12	42	30
Region3_2018_FOOD43	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	2	2	2	3	3	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	3	3	4	2	2	4	3	4	4	6	12	41	30
Region3_2017_HUMAN24	25	26	25	27	24	24	28	31	32.99	26	21.99	2	2	2	3	4	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	0	4	5	4	4	6	5	5	5	7.99	12	43	31.99
Country_HUMAN38	24	22.99	22.99	25	24	21.99	25	29	32.99	22.99	19.99	3	3	3	4	4	3	5	3	2	2	2	2	2	2	2	2	2	2	2	0	1	2	3	3	3	4	0	5	5	4	6	5	3	5	8.99	13	40	29
Region3_2017_HUMAN25	26	27	26	28	26	25	29	31.99	35	26	22.99	3	3	3	3	4	3	4	4	3	3	3	3	3	3	3	3	3	3	3	0	2	3	4	4	4	5	5	0	6	5	6.99	6	6	5	9.99	14	42	32.99
Country_HUMAN27	25	26	24	26	25	24	28	31	35	25	19.99	4	4	4	5	4	4	6	5	3	3	3	2	3	2	3	3	3	3	3	3	2	3	3	2	2	4	5	6	0	2	2	4	6	6	5	13	43	31.99
Country_HUMAN32	25	26	25	27	25	24	28	31	35	26	21.99	3	3	3	4	4	3	5	4	2	2	2	2	2	2	1	2	2	2	2	2	1	2	3	2	2	4	4	5	2	0	3	2	5	5	3	13	42	30
Country_HUMAN31	25	26	25	27	25	24	28	31	35	26	21.99	5	5	5	6	6	5	6.99	6	4	4	4	4	4	4	3	4	4	4	4	4	2	4	5	3	4	6	6	6.99	2	3	0	6.99	6	6.99	14	43	31	31
Country_HUMAN29	26	27	26	28	26	25	29	31.99	36	26	22.99	4	4	4	4	4	4	5	5	3	3	3	3	3	3	2	3	3	3	3	3	2	3	4	2	3	5	5	6	4	2	3	0	6	6	6.99	14	43	31.99
Region1_2017_FOOD8	25	26	26	28	26	25	29	31.99	36	26	22.99	4	4	4	5	5	4	5	5	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	4	4	5	3	6	6	5	6.99	6	0	5	9.99	13	43.99	32.99
Country_HUMAN45	26	27	26	28	25	25	28	31	36	26	22.99	4	4	4	5	5	4	6	5	3	2	3	3	3	3	3	3	3	3	3	3	3	2	4	4	4	5	5	5	6	5	6	6	5	0	8.99	9.99	41	31.99
Country_HUMAN30	29	30	29	31	29	28	31.99	35	39	30	26	7.99	7.99	7.99	8.99	8.99	7.99	9.99	8.99	6.99	6.99	6.99	6.99	6.99	6.99	6	6.99	6.99	6.99	6.99	6.99	5	6.99	7.99	6.99	6	7.99	8.99	9.99	5	3	6.99	6.99	9.99	8.99	0	16	47	34
Country_HUMAN46	32.99	34	32.99	35	31	31.99	36	37	40	34	31	12	12	12	13	13	12	14	13	10.99	9.99	10.99	10.99	10.99	10.99	10.99	10.99	10.99	10.99	10.99	9.99	10.99	9.99	8.99	12	12	12	13	14	13	13	14	14	13	9.99	16	0	52	40
Region7_2014_FOOD11	30	31	30	31.99	31	30	31	36	36	32.99	27	42	42	42	43	43	41	43	42	41	41	41	41	41	41	41	41	41	41	41	21.99	39	41	42	42	41	43	40	42	43	42	43	43	43.99	41	47	52	0	18.99
Region2_2017_FOOD14	18	18.99	18	19.99	18.99	18	19.99	24	27	21.99	16	31	31	31	31.99	31.99	30	31.99	31	30	30	30	30	30	30	29	30	30	30	30	15	28	30	31	30	30	31.99	29	32.99	31.99	30	31	31.99	32.99	31.99	34	40	18.99	0
